bigram,n,star,pec
massage therapist,139,1,0.006769590415428822
phone call,139,1,0.006769590415428822
nail technician,138,1,0.00672088832610919
terrible experience,138,1,0.00672088832610919
acrylic nails,134,1,0.006526079968830663
appointment time,133,1,0.006477377879511031
3 hours,129,1,0.006282569522232504
foot massage,128,1,0.006233867432912872
horrible job,128,1,0.006233867432912872
gift certificate,126,1,0.006136463254273608
bad reviews,125,1,0.006087761164953976
4 days,123,1,0.005990356986314713
40 minutes,119,1,0.005795548629036185
days ago,114,1,0.005552038182438027
hair stylist,113,1,0.005503336093118395
minutes late,113,1,0.005503336093118395
24 hours,112,1,0.005454634003798763
terrible job,111,1,0.005405931914479131
worst haircut,108,1,0.005259825646520236
hair color,107,1,0.005211123557200604
terrible service,107,1,0.005211123557200604
1 hour,106,1,0.005162421467880972
months ago,106,1,0.005162421467880972
3 months,103,1,0.005016315199922077
extremely disappointed,103,1,0.005016315199922077
gel mani,103,1,0.005016315199922077
story short,103,1,0.005016315199922077
30 mins,102,1,0.004967613110602445
regular polish,98,1,0.004772804753323917
toe nails,96,1,0.004675400574684654
massage envy,95,1,0.004626698485365022
ni called,95,1,0.004626698485365022
hair salon,93,1,0.004529294306725758
6 months,92,1,0.004480592217406126
nail shop,92,1,0.004480592217406126
paint job,92,1,0.004480592217406126
phone calls,92,1,0.004480592217406126
10 mins,91,1,0.0044318901280864945
20 mins,91,1,0.0044318901280864945
awful experience,90,1,0.0043831880387668635
worst service,90,1,0.0043831880387668635
2 months,89,1,0.004334485949447232
bad service,89,1,0.004334485949447232
4 times,88,1,0.0042857838601276
minute wait,88,1,0.0042857838601276
service skills,88,1,0.0042857838601276
30 min,87,1,0.004237081770807968
5 days,87,1,0.004237081770807968
speak english,86,1,0.004188379681488336
25 minutes,85,1,0.004139677592168704
5 star,85,1,0.004139677592168704
business owner,85,1,0.004139677592168704
week ago,85,1,0.004139677592168704
customer service,250,3,0.05202913631633715
front desk,220,3,0.045785639958376693
nail salon,189,3,0.039334027055150884
nail tech,187,3,0.03891779396462019
3 stars,181,3,0.03766909469302809
gel manicure,175,3,0.036420395421436005
mani pedi,132,3,0.027471383975026013
gel polish,127,3,0.026430801248699273
5 stars,103,3,0.021436004162330904
nail polish,102,3,0.021227887617065556
foot massage,88,3,0.018314255983350677
hair cut,84,3,0.01748178980228928
30 minutes,77,3,0.01602497398543184
15 minutes,75,3,0.015608740894901144
10 minutes,74,3,0.015400624349635796
gel mani,71,3,0.01477627471383975
20 minutes,68,3,0.014151925078043704
2 weeks,58,3,0.012070759625390219
nail techs,56,3,0.011654526534859521
5 star,55,3,0.011446409989594173
las vegas,53,3,0.011030176899063476
top coat,51,3,0.010613943808532778
massage therapist,50,3,0.01040582726326743
weeks ago,49,3,0.010197710718002082
3 star,48,3,0.009989594172736732
walk ins,48,3,0.009989594172736732
friendly staff,46,3,0.009573361082206036
nail salons,46,3,0.009573361082206036
1 2,45,3,0.009365244536940686
45 minutes,45,3,0.009365244536940686
5 minutes,45,3,0.009365244536940686
hot stones,44,3,0.009157127991675338
nail technician,43,3,0.00894901144640999
gel nails,42,3,0.00874089490114464
2 hours,41,3,0.008532778355879293
deep tissue,41,3,0.008532778355879293
super nice,41,3,0.008532778355879293
3 times,40,3,0.008324661810613945
multiple times,38,3,0.007908428720083247
