bigram,n,year,star,pec
time frame,10,2017,2,0.005817335660267597
water line,10,2017,2,0.005817335660267597
2 star,9,2017,2,0.005235602094240838
overnight prints,9,2017,2,0.005235602094240838
service skills,9,2017,2,0.005235602094240838
star review,9,2017,2,0.005235602094240838
ups store,9,2017,2,0.005235602094240838
bike shop,8,2017,2,0.004653868528214078
business days,8,2017,2,0.004653868528214078
dry cleaned,8,2017,2,0.004653868528214078
dry cleaners,8,2017,2,0.004653868528214078
fast forward,8,2017,2,0.004653868528214078
garage door,8,2017,2,0.004653868528214078
home button,8,2017,2,0.004653868528214078
morris jenkins,8,2017,2,0.004653868528214078
poor service,8,2017,2,0.004653868528214078
repair shop,8,2017,2,0.004653868528214078
service fee,8,2017,2,0.004653868528214078
thrift store,8,2017,2,0.004653868528214078
timely manner,8,2017,2,0.004653868528214078
washing machine,8,2017,2,0.004653868528214078
zip code,8,2017,2,0.004653868528214078
1 4,7,2017,2,0.004072134962187318
1 hour,7,2017,2,0.004072134962187318
2 hour,7,2017,2,0.004072134962187318
5 days,7,2017,2,0.004072134962187318
customer service,119,2015,3,0.11464354527938343
3 stars,66,2015,3,0.06358381502890173
5 stars,29,2015,3,0.027938342967244702
20 minutes,26,2015,3,0.025048169556840076
post office,26,2015,3,0.025048169556840076
dry cleaning,23,2015,3,0.022157996146435453
15 minutes,22,2015,3,0.02119460500963391
10 minutes,21,2015,3,0.02023121387283237
30 minutes,15,2015,3,0.014450867052023121
45 minutes,15,2015,3,0.014450867052023121
2 hours,14,2015,3,0.01348747591522158
3 star,14,2015,3,0.01348747591522158
parking lot,14,2015,3,0.01348747591522158
5 star,13,2015,3,0.012524084778420038
2 weeks,12,2015,3,0.011560693641618497
las vegas,12,2015,3,0.011560693641618497
sales person,12,2015,3,0.011560693641618497
1 star,11,2015,3,0.010597302504816955
2 3,11,2015,3,0.010597302504816955
3 4,11,2015,3,0.010597302504816955
5 minutes,11,2015,3,0.010597302504816955
apple store,11,2015,3,0.010597302504816955
dry cleaner,11,2015,3,0.010597302504816955
price match,11,2015,3,0.010597302504816955
star rating,11,2015,3,0.010597302504816955
1 2,10,2015,3,0.009633911368015413
4 stars,10,2015,3,0.009633911368015413
convenient location,10,2015,3,0.009633911368015413
credit card,10,2015,3,0.009633911368015413
3 times,9,2015,3,0.008670520231213872
friendly staff,9,2015,3,0.008670520231213872
shopping center,9,2015,3,0.008670520231213872
thrift store,9,2015,3,0.008670520231213872
ups store,9,2015,3,0.008670520231213872
