bigram,n,star,pec
dogs love,67,5,0.009178082191780823
super nice,67,5,0.009178082191780823
shih tzu,63,5,0.00863013698630137
vet clinic,61,5,0.008356164383561644
vet techs,59,5,0.008082191780821918
excellent care,58,5,0.007945205479452055
office staff,58,5,0.007945205479452055
love love,57,5,0.007808219178082192
phone call,57,5,0.007808219178082192
months ago,56,5,0.007671232876712329
pet care,55,5,0.007534246575342466
2 dogs,54,5,0.0073972602739726025
pet owner,54,5,0.0073972602739726025
extremely friendly,52,5,0.007123287671232876
love dr,51,5,0.006986301369863014
recently moved,51,5,0.006986301369863014
dog training,50,5,0.00684931506849315
excellent job,50,5,0.00684931506849315
1 2,49,5,0.006712328767123288
pet sitting,49,5,0.006712328767123288
vet office,49,5,0.006712328767123288
2 hours,48,5,0.006575342465753425
nail trim,48,5,0.006575342465753425
pet food,48,5,0.006575342465753425
pet stores,48,5,0.006575342465753425
teeth cleaning,48,5,0.006575342465753425
5 star,47,5,0.0064383561643835616
6 months,47,5,0.0064383561643835616
check ups,47,5,0.0064383561643835616
comfortable leaving,47,5,0.0064383561643835616
absolutely amazing,46,5,0.006301369863013699
pet sitter,46,5,0.006301369863013699
3 dogs,45,5,0.0061643835616438354
bad experience,45,5,0.0061643835616438354
love animals,45,5,0.0061643835616438354
24 7,44,5,0.006027397260273973
excellent service,44,5,0.006027397260273973
extremely helpful,44,5,0.006027397260273973
fantastic job,44,5,0.006027397260273973
dog grooming,43,5,0.005890410958904109
ni highly,43,5,0.005890410958904109
desk staff,42,5,0.005753424657534247
finally found,42,5,0.005753424657534247
golden retriever,42,5,0.005753424657534247
grooming services,42,5,0.005753424657534247
caring staff,41,5,0.005616438356164383
weeks ago,41,5,0.005616438356164383
short notice,40,5,0.005479452054794521
wonderful job,40,5,0.005479452054794521
feel rushed,39,5,0.005342465753424658
loves animals,39,5,0.005342465753424658
nails trimmed,39,5,0.005342465753424658
parking lot,39,5,0.005342465753424658
30 minutes,38,5,0.0052054794520547945
genuinely care,38,5,0.0052054794520547945
german shepherd,38,5,0.0052054794520547945
super helpful,38,5,0.0052054794520547945
furry family,37,5,0.005068493150684932
