bigram,n,year,star,pec
amazing experience,169,2016,5,0.010048159819252037
absolutely love,163,2016,5,0.0096914204173851
front row,159,2016,5,0.00945359414947381
vegas strip,159,2016,5,0.00945359414947381
absolutely amazing,155,2016,5,0.009215767881562519
saturday night,150,2016,5,0.008918485046673405
totally worth,146,2016,5,0.008680658778762115
board games,145,2016,5,0.008621202211784291
ni love,143,2016,5,0.008502289077828646
hidden gem,141,2016,5,0.008383375943873
nthe staff,141,2016,5,0.008383375943873
pleasantly surprised,140,2016,5,0.008323919376895177
tour guide,138,2016,5,0.008205006242939532
pretty cool,135,2016,5,0.008026636542006065
1 2,133,2016,5,0.00790772340805042
amazing time,132,2016,5,0.007848266841072597
parking lot,131,2016,5,0.007788810274094774
entire time,130,2016,5,0.007729353707116951
2 hours,129,2016,5,0.007669897140139129
friday night,129,2016,5,0.007669897140139129
beer selection,128,2016,5,0.007610440573161305
fremont street,128,2016,5,0.007610440573161305
absolutely loved,127,2016,5,0.007550984006183483
fun time,122,2016,5,0.00725370117129437
michael jackson,122,2016,5,0.00725370117129437
super fun,122,2016,5,0.00725370117129437
family friendly,118,2016,5,0.0070158749033830785
mandalay bay,118,2016,5,0.0070158749033830785
30 minutes,116,2016,5,0.006896961769427433
pinball machines,114,2016,5,0.006778048635471788
nthe food,111,2016,5,0.0065996789345383194
laser tag,109,2016,5,0.006480765800582674
dance floor,107,2016,5,0.006361852666627029
3 hours,101,2016,5,0.006005113264760093
food options,101,2016,5,0.006005113264760093
video games,101,2016,5,0.006005113264760093
15 minutes,99,2016,5,0.005886200130804447
box office,97,2016,5,0.005767286996848802
excellent service,97,2016,5,0.005767286996848802
prime rib,97,2016,5,0.005767286996848802
walking distance,96,2016,5,0.00570783042987098
hip hop,93,2016,5,0.005529460728937511
wonderful experience,93,2016,5,0.005529460728937511
ni highly,91,2016,5,0.005410547594981866
red rock,91,2016,5,0.005410547594981866
hotel casino,90,2016,5,0.005351091028004043
10 minutes,88,2016,5,0.005232177894048398
awesome experience,88,2016,5,0.005232177894048398
wait staff,88,2016,5,0.005232177894048398
audience participation,87,2016,5,0.0051727213270705745
bachelorette party,87,2016,5,0.0051727213270705745
amazing job,86,2016,5,0.005113264760092752
planet hollywood,86,2016,5,0.005113264760092752
reclining seats,86,2016,5,0.005113264760092752
super cool,86,2016,5,0.005113264760092752
amazing food,85,2016,5,0.005053808193114929
love coming,85,2016,5,0.005053808193114929
dole whip,84,2016,5,0.004994351626137107
live band,84,2016,5,0.004994351626137107
fried chicken,82,2016,5,0.0048754384921814616
super clean,82,2016,5,0.0048754384921814616
coffee shop,81,2016,5,0.004815981925203639
20 minutes,79,2016,5,0.004697068791247994
hard rock,79,2016,5,0.004697068791247994
tickets online,78,2016,5,0.00463761222427017
wonderful time,78,2016,5,0.00463761222427017
late night,77,2016,5,0.004578155657292348
food court,76,2016,5,0.004518699090314525
delicious food,75,2016,5,0.0044592425233367025
past weekend,75,2016,5,0.0044592425233367025
extremely friendly,74,2016,5,0.00439978595635888
vegas trip,74,2016,5,0.00439978595635888
kid friendly,73,2016,5,0.004340329389381057
golden tiki,72,2016,5,0.004280872822403235
movie theatre,72,2016,5,0.004280872822403235
bad experience,71,2016,5,0.004221416255425412
fun atmosphere,71,2016,5,0.004221416255425412
front desk,588,2016,2,0.09357097390197326
customer service,374,2016,2,0.059516231699554424
las vegas,303,2016,2,0.04821769573520051
resort fee,265,2016,2,0.04217059197963081
2 stars,212,2016,2,0.03373647358370465
30 minutes,153,2016,2,0.024347549331635902
10 minutes,138,2016,2,0.02196053469127944
15 minutes,136,2016,2,0.021642266072565246
20 minutes,136,2016,2,0.021642266072565246
happy hour,90,2016,2,0.014322087842138766
45 minutes,87,2016,2,0.013844684914067472
mandalay bay,82,2016,2,0.013049013367281986
resort fees,81,2016,2,0.012889879057924889
hot chocolate,79,2016,2,0.012571610439210694
hot water,72,2016,2,0.011457670273711012
parking lot,71,2016,2,0.011298535964353915
credit card,66,2016,2,0.010502864417568428
5 minutes,64,2016,2,0.010184595798854232
5 star,64,2016,2,0.010184595798854232
frozen hot,64,2016,2,0.010184595798854232
ice cream,64,2016,2,0.010184595798854232
saturday night,64,2016,2,0.010184595798854232
coffee maker,63,2016,2,0.010025461489497135
nthe food,63,2016,2,0.010025461489497135
1 2,62,2016,2,0.009866327180140038
3 times,58,2016,2,0.009229789942711649
friday night,57,2016,2,0.009070655633354551
1 star,56,2016,2,0.008911521323997454
5 stars,56,2016,2,0.008911521323997454
2 hours,55,2016,2,0.008752387014640357
food court,54,2016,2,0.00859325270528326
live music,54,2016,2,0.00859325270528326
monte carlo,53,2016,2,0.008434118395926163
motel 6,51,2016,2,0.008115849777211966
casino floor,50,2016,2,0.007956715467854869
prime rib,49,2016,2,0.007797581158497772
