bigram,n,star
parking lot,260,4
5 stars,239,4
4 stars,235,4
friendly staff,191,4
food court,189,4
highly recommend,181,4
ice cream,174,4
grocery store,137,4
super friendly,135,4
soft serve,127,4
home depot,113,4
front desk,109,4
nthe store,108,4
nthe staff,99,4
pretty cool,84,4
shopping experience,81,4
5 star,80,4
huge selection,79,4
shopping center,79,4
cereal milk,78,4
wide variety,78,4
super helpful,77,4
trader joe's,77,4
nice selection,76,4
super nice,76,4
fremont street,75,4
15 minutes,74,4
helpful staff,73,4
board games,70,4
30 minutes,69,4
crack pie,67,4
ni love,67,4
10 minutes,66,4
milk bar,66,4
1 2,63,4
pleasantly surprised,58,4
sales people,58,4
credit card,56,4
super cute,56,4
gift shop,55,4
top notch,55,4
20 minutes,54,4
nice store,54,4
coffee shop,51,4
4 5,50,4
clean store,50,4
nthis location,50,4
decent selection,49,4
sales person,49,4
2 hours,48,4
bit pricey,48,4
extremely helpful,48,4
friendly service,48,4
reasonable price,48,4
thrift store,48,4
apple store,47,4
outlet mall,47,4
wide selection,47,4
5 minutes,46,4
wal mart,46,4
worth checking,44,4
2 3,43,4
harris teeter,43,4
reasonable prices,43,4
convenient location,42,4
nthis store,42,4
return policy,42,4
wait time,42,4
pleasant experience,41,4
price range,41,4
sales associate,41,4
wedding dress,41,4
birthday cake,40,4
home decor,40,4
video games,40,4
clearance section,39,4
food options,39,4
grocery shopping,39,4
grocery stores,38,4
live music,38,4
milk soft,38,4
nthe food,38,4
rewards program,38,4
2 weeks,37,4
4 star,37,4
friendly helpful,37,4
dollar store,36,4
eye exam,36,4
gluten free,36,4
pretty decent,36,4
sales staff,36,4
24 hours,35,4
dollar tree,35,4
free parking,35,4
love coming,35,4
walking distance,35,4
food items,34,4
knick knacks,34,4
customer service,605,3
3 stars,192,3
parking lot,145,3
las vegas,138,3
food court,136,3
5 stars,79,3
nthe store,75,3
grocery store,74,3
front desk,72,3
10 minutes,64,3
30 minutes,57,3
home depot,57,3
20 minutes,53,3
15 minutes,52,3
nice selection,52,3
friendly staff,48,3
shopping experience,46,3
3 star,44,3
wal mart,44,3
decent selection,42,3
nthe staff,40,3
credit card,39,3
super friendly,39,3
pretty cool,38,3
shopping center,38,3
1 2,37,3
return policy,37,3
canadian tire,36,3
sales associate,35,3
5 star,34,3
1 star,33,3
sales people,33,3
2 stars,32,3
5 minutes,32,3
weeks ago,32,3
department store,30,3
star rating,30,3
star review,30,3
thrift store,30,3
4 stars,29,3
cell phone,29,3
ice cream,29,3
3 times,28,3
huge selection,28,3
store manager,28,3
cash register,27,3
dollar tree,27,3
forever 21,27,3
fremont street,27,3
outlet mall,27,3
pretty decent,27,3
store credit,27,3
super nice,26,3
dollar store,25,3
gift shop,25,3
sales associates,25,3
apple store,24,3
gift card,24,3
michael kors,24,3
trader joe's,24,3
2 weeks,23,3
empty handed,23,3
grocery shopping,23,3
months ago,23,3
2 3,22,3
2 hours,22,3
2 people,22,3
nice store,22,3
resort fee,22,3
sales staff,22,3
stop shop,22,3
vegas strip,22,3
wedding dress,22,3
board games,21,3
eye contact,21,3
sales person,21,3
entire store,20,3
grocery stores,20,3
hard time,20,3
price match,20,3
price tag,20,3
3 4,19,3
clean store,19,3
decent prices,19,3
nthe food,19,3
nthis store,19,3
rewards program,19,3
service skills,19,3
super helpful,19,3
2 days,18,3
bad day,18,3
bubble tea,18,3
entire time,18,3
eye exam,18,3
household items,18,3
town square,18,3
unique items,18,3
bad experience,17,3
food options,17,3
gluten free,17,3
customer service,740,4
las vegas,307,4
food court,249,4
parking lot,236,4
5 stars,219,4
4 stars,210,4
friendly staff,203,4
ice cream,170,4
highly recommend,145,4
grocery store,141,4
super friendly,127,4
home depot,125,4
nthe staff,118,4
nthe store,116,4
soft serve,116,4
crack pie,112,4
trader joe's,92,4
huge selection,90,4
shopping center,88,4
cereal milk,87,4
ni love,85,4
nice selection,80,4
clean store,74,4
front desk,74,4
pretty cool,74,4
wide variety,72,4
15 minutes,71,4
super helpful,70,4
board games,69,4
5 star,67,4
10 minutes,66,4
bit pricey,66,4
apple store,65,4
shopping experience,65,4
helpful staff,64,4
reasonable prices,62,4
30 minutes,61,4
super nice,60,4
pretty nice,59,4
20 minutes,58,4
fremont street,58,4
pleasantly surprised,58,4
home decor,57,4
4 5,56,4
coffee shop,56,4
milk bar,56,4
wide selection,56,4
1 2,53,4
nthis store,53,4
top notch,53,4
decent selection,51,4
gift shop,51,4
5 minutes,48,4
birthday cake,48,4
reasonable price,48,4
4 star,47,4
credit card,47,4
nthis location,46,4
love coming,44,4
milk soft,44,4
wait time,44,4
conveniently located,43,4
grocery stores,42,4
super cute,42,4
worth checking,42,4
friendly service,41,4
walking distance,40,4
absolutely love,39,4
nthe prices,39,4
clearance section,38,4
dollar tree,38,4
free parking,38,4
sales people,38,4
store credit,38,4
tj maxx,38,4
food options,37,4
