bigram,n,star,pec
act coy,1,3,0.0078125
advertising pitching,1,3,0.0078125
agencies hitting,1,3,0.0078125
alcohol consumption,1,3,0.0078125
allergy friendly,1,3,0.0078125
alternative rock,1,3,0.0078125
anchor news,1,3,0.0078125
anchors ron,1,3,0.0078125
apple coaster,1,3,0.0078125
arcade html,1,3,0.0078125
arrives nice,1,3,0.0078125
aston martin,1,3,0.0078125
ate dinner,1,3,0.0078125
atleast 4,1,3,0.0078125
attached convenience,1,3,0.0078125
authentic mexican,1,3,0.0078125
background noise,1,3,0.0078125
bad reviews,1,3,0.0078125
bam channels,1,3,0.0078125
basic level,1,3,0.0078125
bbc daily,1,3,0.0078125
bbq sandwich,1,3,0.0078125
bd c'est,1,3,0.0078125
beautiful women,1,3,0.0078125
beef chimichanga,1,3,0.0078125
beefs seasoning,1,3,0.0078125
biased cont,1,3,0.0078125
biggest concern,1,3,0.0078125
bikes hey,1,3,0.0078125
bill errors,1,3,0.0078125
bill paid,1,3,0.0078125
bill wth,1,3,0.0078125
bill yep,1,3,0.0078125
birthday nthe,1,3,0.0078125
black hole,1,3,0.0078125
blvd gotta,1,3,0.0078125
bright hotels,1,3,0.0078125
brought home,1,3,0.0078125
buck honestly,1,3,0.0078125
c'est cool,1,3,0.0078125
c'est pas,1,3,0.0078125
c'est surtout,1,3,0.0078125
c'etait une,1,3,0.0078125
cable tech,1,3,0.0078125
cable tv,1,3,0.0078125
car rides,1,3,0.0078125
casino hotels,1,3,0.0078125
casinos mixed,1,3,0.0078125
central strip,1,3,0.0078125
change channels,1,3,0.0078125
channels honestly,1,3,0.0078125
character costumes,1,3,0.0078125
charge 33,1,3,0.0078125
charge 50,1,3,0.0078125
customer service,121,1,0.17872968980797638
credit card,14,1,0.0206794682422452
worst customer,14,1,0.0206794682422452
2 weeks,11,1,0.01624815361890694
business bureau,11,1,0.01624815361890694
7 days,10,1,0.014771048744460856
horrible customer,10,1,0.014771048744460856
phone services,10,1,0.014771048744460856
plain dealer,10,1,0.014771048744460856
arizona republic,9,1,0.013293943870014771
az republic,9,1,0.013293943870014771
duluth trading,9,1,0.013293943870014771
internet service,9,1,0.013293943870014771
internet tv,9,1,0.013293943870014771
3 weeks,8,1,0.011816838995568686
charlotte observer,8,1,0.011816838995568686
monthly bill,8,1,0.011816838995568686
nestimated time,8,1,0.011816838995568686
outage related,8,1,0.011816838995568686
radio station,8,1,0.011816838995568686
service rep,8,1,0.011816838995568686
sunday paper,8,1,0.011816838995568686
tv service,8,1,0.011816838995568686
warrior wraps,8,1,0.011816838995568686
channel 5,7,1,0.0103397341211226
cox communications,7,1,0.0103397341211226
free shipping,7,1,0.0103397341211226
